first.name,last.name,ID,h.index,i10.idex,citations
Volkan,Ediger,ped41,5,5,142
Rosemarie,Edillon,ped51,1,0,3
Per-Anders,Edin,ped22,20,24,1546
Piyadasa,Edirisuriya,ped68,2,0,9
Hali,Edison,ped1,22,30,2013
Aaron,Edlin,ped12,14,16,641
Lena,Edlund,ped9,13,15,593
Alex,Edmans,ped30,13,15,872
Karin,Edmark,ped15,7,5,249
Svetlana,Edmeades,ped21,1,1,13
Kelly,Edmiston,ped14,6,3,147
Chris,Edmond,ped23,9,9,350
Christopher,Edmonds,ped18,6,3,69
Eric,Edmonds,ped27,15,17,1000
William,Edmondson,ped46,2,0,9
Samson,Edo,ped85,1,0,3
Anthony,Edo,ped70,3,0,27
Cyriaque,Edon,ped49,2,0,14
Harald,Edquist,ped34,5,1,46
Charles,Edquist,ped56,7,7,240
Abdi-Khalil,Edriss,ped59,1,0,3
Tudor,Edu,ped53,1,0,5
Dinu,Eduard,ped7,2,0,7
Rodney,Edvinsson,ped13,2,1,26
Finley,Edwards,ped58,1,1,15
John,Edwards,ped84,1,0,3
Eric,Edwards,ped78,2,0,8
Gonzalo,Edwards,ped35,2,0,12
Rebecca,Edwards,ped65,2,0,11
Jeffrey,Edwards,ped33,3,0,22
Peter,Edwards,ped38,3,0,20
Terence,Edwards,ped19,3,1,66
Amy,Edwards,ped61,4,4,218
Brian,Edwards,ped83,4,2,46
John,Edwards,ped57,6,3,139
Ryan,Edwards,ped20,7,5,199
Jeremy,Edwards,ped39,8,7,482
Lawrence,Edwards,ped24,9,9,284
Sebastian,Edwards,ped3,39,114,6258
Mónica,Edwards-Schachter,ped54,3,0,15
Louis,Eeckhoudt,pee3,22,45,1895
Jan,Eeckhout,pee1,13,14,783
Linda,Eells,pee5,1,0,2
Essi,Eerola,pee2,5,1,54
Adnan,Efendic,pef26,2,1,61
Ellis,Eff,pef3,2,0,10
Ekpeno,Effiong,pef11,2,1,18
Anne,Effland,pef10,3,1,38
Matthias,Efing,pef18,4,2,35
Uchenna,Efobi,pef13,6,6,152
Levan,Efremidze,pef7,2,0,18
Georgios,Efthyvoulou,pef6,5,3,105
Kevin,Egan,peg24,5,4,108
Henrik,Egbert,peg28,3,0,32
Johan,Egebark,peg30,3,2,28
Thomas,Eger,peg42,3,1,38
Hartmut,Egger,peg5,18,23,982
Peter,Egger,peg11,34,85,4034
Roderick,Eggert,peg14,3,2,72
Håkan,Eggert,peg32,7,4,118
Gauti,Eggertsson,peg7,19,23,1973
Rudolf,Egging,peg21,9,9,217
Karen,Eggleston,peg13,12,14,399
Jude,Eggoh,peg18,6,5,166
Mark,Eghan,peg34,1,0,2
Massimo,Egidi,peg2,7,5,274
Alfredo,Egidio dos Reis,peg9,3,1,44
Hannes,Egli,peg10,5,4,79
Alexey,Egorov,peg45,1,0,5
Alexei,Egorov,peg8,3,3,61
Georgy,Egorov,peg15,8,7,253
Lyudmila,Egorova,peg33,1,0,3
Martin,Egozcue,peg19,1,1,40
Kyota,Eguchi,peg17,2,0,16
Jon,Eguia,peg4,3,0,32
Fernando,Eguren Martin,peg40,1,1,11
Melf-Hinrich,Ehlers,peh15,2,1,35
Ricardo,Ehlers,peh21,2,0,8
Torsten,Ehlers,peh23,4,1,45
Lars,Ehlers,peh7,16,24,668
Mark,Ehlert,peh22,2,0,16
Paul,Ehling,peh20,3,2,45
Cole,Ehmke,peh9,1,0,3
Dirk,Ehnts,peh8,1,0,3
Ronald,Ehrenberg,peh2,22,37,1722
Wilfried,Ehrenfeld,peh11,1,0,8
Norman,Ehrentreich,peh3,3,1,25
Helene,Ehrhart,peh12,4,3,61
Philipp,Ehrl,peh19,2,1,19
Gabriel,Ehrlich,peh25,2,1,25
Isaac,Ehrlich,peh1,22,30,2748
Michael,Ehrmann,peh4,32,54,3562
Peter,Eibich,pei40,4,1,64
Nina,Eichacker,pei52,1,0,2
Jürgen,Eichberger,pei37,15,15,623
Vera,Eichenauer,pei59,3,0,20
Martin,Eichenbaum,pei4,51,77,13453
Reiner,Eichenberger,pei18,13,17,564
Theo,Eicher,pei6,19,25,1032
Werner,Eichhorst,pei13,14,18,687
Michael,Eichler,pei32,5,4,82
Stefan,Eichler,pei30,7,3,126
Alexander,Eickelpasch,pei17,4,2,134
Sandra,Eickmeier,pei21,15,19,753
Nourhan,Eid,pei54,1,0,1
Ashraf,Eid,pei31,2,0,9
Jean,Eid,pei22,2,1,57
Frederik,Eidam,pei58,1,0,2
Erling,Eide,pei35,3,2,41
Eric,Eide,pei11,7,7,338
Vernon,Eidman,pei45,7,4,159
Thomas,Eife,pei10,4,1,28
Sylvester,Eijffinger,pei5,21,40,1949
David,Eil,pei56,1,1,70
Lea,Eilers,pei51,1,0,5
Jan,Eilhard,pei26,1,0,2
Bjarni,Einarsson,pei43,1,0,10
John,Einmahl,pei24,9,9,312
Klaus,Eisenack,pei38,5,3,73
Thomas,Eisenbach,pei36,5,3,214
Robert,Eisenbeis,pei23,12,17,537
Larry,Eisenberg,pei15,3,1,269
Theodore,Eisenberg,pei1,8,8,289
Gerald,Eisenkopf,pei41,7,5,133
Jens,Eisenschmidt,pei8,4,3,105
Thomas,Eisensee,pei28,1,1,129
Eric,Eisenstat,pei47,4,3,57
Andrea,Eisfeldt,pei27,9,8,477
Rainer,Eising,pei20,2,1,26
Oleg,Eismont,pei33,2,0,11
Joel,Eita,pei25,4,2,48
Øyvind,Eitrheim,pei16,6,6,544
Alon,Eizenberg,pei44,3,1,51
João,Ejarque,pej1,5,5,183
Mehak,Ejaz,pej5,1,0,4
Olof,Ejermo,pej2,10,10,227
Mette,Ejrnæs,pej6,8,7,302
Susanne,Ek,pek20,2,0,11
Peter,Ekamper,pek14,3,0,15
Daniel,Ekeblom,pek25,1,0,3
Anders,Ekeland,pek28,2,0,12
Robert,Ekelund,pek2,11,12,391
Nils-Arne,Ekerhovd,pek32,1,0,5
Steinar,Ekern,pek34,5,5,195
Olivia,Ekert-Jaffe,pek19,3,1,33
Anders,Ekholm,pek11,2,0,10
Karolina,Ekholm,pek4,13,16,973
Emre,Ekinci,pek45,1,0,2
Nazim,Ekinci,pek23,2,0,9
Mehmet,Ekinci,pek9,3,1,56
Matias,Eklöf,pek6,3,2,36
Jana,Eklund,pek15,4,4,141
Johan,Eklund,pek10,4,1,37
Bruno,Eklund,pek16,5,3,145
Mehmet,Ekmekci,pek17,6,5,97
Line,Ekner,pek31,1,0,4
Ozan,Eksi,pek40,1,0,4
Mathias,Ekström,pek29,3,2,26
Marwane,El Alaoui,pel170,1,0,5
Aicha,El Alaoui,pel254,2,0,5
Karim,El Aynaoui,pel166,5,4,163
Eliane,El Badaoui,pel110,3,2,56
Moez,El Elj,pmo340,25,37,3672
Ahmed,El Ghini,pel178,2,0,6
Tania,El Kallab,pel182,1,0,2
Abdelbari,El Khamlichi,pel190,3,3,41
Maria,El khdari,pel226,1,0,3
AbdelRahmen,El Lahga,pel66,5,2,86
Abdel,El Makhloufi,pel42,1,0,7
Najat,El Mekkaoui,pel134,2,0,16
Karim,El Mokri,pel194,1,0,1
Ghassen,El Montasser,pel144,5,4,154
Imane,El Ouadghiri,pel185,1,0,3
Yassine,El Qalli,pya194,6,3,69
Tarek,el Sehity,pel55,1,0,6
Fathi,Elachhab,pel199,1,0,3
Gregory,Elacqua,pel132,1,1,23
Muhammad Ather,Elahi,pel145,2,1,48
Eltighani,Elamin,pel250,1,0,5
Mahmoud,Elamin,pel180,2,0,5
Hussein,Elasrag,pal206,1,1,13
Nasr,Elbahnasawy,pel220,2,1,18
Mona,Elbannan,pel260,1,0,1
Mohamed,Elbannan,pel161,2,0,9
Arolda,Elbasani,pel122,1,0,6
Andrés,Elberg,pel130,2,0,10
Chris,Elbers,pel25,11,11,736
Nora,El-Bialy,pel266,1,0,4
Alexander,Elbittar,pel6,3,0,23
Adam,Elbourne,pel64,6,4,176
Erick,Elder,pel74,3,1,18
Todd,Elder,pel109,10,10,1260
John,Elder,pel72,11,12,599
Rafi,Eldor,pel195,8,6,276
Damien,Eldridge,pel63,1,0,2
Konstantinos,Eleftheriou,pel107,2,0,10
Sofia,Eleftheriou,pel111,2,1,15
Maria,Eleftheriou,pel155,3,1,28
Péter,Elek,pel186,1,0,11
Selim,Elekdag,pel48,7,6,380
Vadim,Elenev,pel251,2,1,15
Ola,Elerian,pel19,1,1,147
Niklas,Elert,pel197,5,4,109
Venkat,Eleswarapu,pel196,6,6,249
Mahmoud,El-Gamal,pel222,7,5,195
Thomas,Elger,pel23,5,2,108
Ceyhun,Elgin,pel118,5,3,138
Amirah,El-Haddad,pel77,1,0,1
Mohsen,Elhafsi,pel86,4,2,42
Fatma,El-Hamidi,pel141,6,3,73
Nadima,El-Hassan,pel32,4,2,57
Mohamed,Elheddad,pel236,1,0,1
J.Paul,Elhorst,pel36,15,20,952
Mikael,Elhouar,pel83,1,0,1
Shari,Eli,pel149,3,2,35
Ferran,Elias,pel189,1,1,22
Julio,Elias,pel101,2,2,73
Marcus,Eliason,pel51,7,5,315
Jonas,Eliasson,pel20,11,12,492
Kfir,Eliaz,pel87,13,15,486
Bernard,Elie,pel3,1,0,1
Luc,Elie,pel193,1,0,5
Obayelu,Elijah,pel41,2,0,12
Evangeline,Elijido-Ten,pel252,2,0,8
Mikael,Elinder,pel92,7,6,165
Martin,Eling,pel167,11,12,326
Howard,Elitzak,pel169,3,1,31
Ramy,Elitzur,pel179,4,2,118
Javier,Elizalde,pel98,2,0,9
Rocio,Elizondo,pel203,1,0,2
David,Elkayam,pel70,2,0,15
Youssef,El-Khatib,pel131,1,0,7
Marwan,Elkhoury,pel50,2,1,35
Nazima,Ellahi,pel148,1,0,1
Atif,Ellahie,pel154,1,0,3
Lina Maria,Ellegård,pel139,1,0,9
Markus,Eller,pel17,8,8,168
Andrea,Ellero,pel71,2,0,4
Roberto,Ellery,pel2,6,4,100
Paul,Ellickson,pel140,9,9,205
Paul,Ellinger,pel40,2,0,12
Tore,Ellingsen,pel76,21,35,2014
David,Elliott,pel230,1,0,1
V,Elliott,pel171,1,1,225
Caroline,Elliott,pel103,5,3,88
William,Elliott,pel89,7,7,109
Kimberly,Elliott,pel127,9,8,271
Graham,Elliott,pel18,19,23,3862
Andrew,Ellis,pel244,1,0,7
Cameron,Ellis,pel243,1,0,1
Gene,Ellis,pel1,1,0,1
Jas,Ellis,pel228,1,0,6
Michael,Ellis,pel150,2,0,17
Larry,Ellis,pel57,3,1,58
Luci,Ellis,pel119,9,9,299
Randall,Ellis,pel45,15,17,1023
Richard,Ellison,pel205,1,0,3
Brenna,Ellison,pel257,2,0,13
Martin,Ellison,pel4,11,13,383
Glenn,Ellison,pel10,28,31,5081
Michael,Ellman,pel93,5,3,98
Matthew,Ellman,pel67,8,8,202
Reuben,Ellul,pel241,1,0,1
Andrew,Ellul,pel137,7,7,255
Mariam,Elmallah,pel191,1,0,2
Eskandar,Elmarzougui,pel133,1,0,2
Douglas,Elmendorf,pel79,13,14,655
Irene,Elmerot,pel214,1,0,1
Jihad,Elnaboulsi,pel172,3,0,19
Amani,Elnasri,pel183,1,0,2
Amani,Elobeid,pel61,16,19,1106
Katarina,Elofsson,pel84,4,3,101
Pedro,Elosegui,pel177,4,0,22
Zouheir,El-Sahli,pel152,1,1,28
Mohammed,El-Sakka,pel49,3,2,342
Peter,Elsasser,pel156,4,0,31
Ahmed,Elsayed,pmo580,1,0,3
Khaled,Elsayed,pel52,4,3,88
Michael,Elsby,pel126,13,17,843
Makram,El-Shagi,pel108,5,2,99
Elgilani,Elshareif,pel96,1,0,1
Helmut,Elsinger,pel56,7,5,554
Wolfram,Elsner,pel202,5,3,77
Jon,Elster,pel22,4,4,809
Steffen,Elstner,pel97,7,5,362
Julie,Elston,pel60,11,11,609
Naveen,Eluru,pel147,7,4,132
Adem,Elveren,pel54,3,0,32
Joel,Elvery,pel181,3,2,75
Gulzat,Elvung,pel153,1,0,9
Dhaoui,Elwardi,pel201,1,0,1
Jeffrey,Ely,pel9,16,19,731
Yousef,Elyasi,pel146,1,0,7
Kenneth,Elzinga,pel120,7,3,128
Noha,Emara,pem29,1,0,6
Abel,Embaye,pem20,3,2,48
Matthew,Embrey,pem38,3,1,26
Patrick,Emerson,pem10,8,7,232
Tom,Emery,pem34,1,0,3
John,Emery,pem12,5,3,82
Dogus,Emin,pem45,1,0,2
Christian,Emini,pem19,2,1,26
Snezana,Eminidou,pem41,1,0,2
Furkan,Emirmahmutoglu,pem21,4,3,73
Charlotte,Emlinger,pem26,5,3,113
Christos,Emmanouilides,pem27,3,0,19
Bougna,Emmanuel,pem30,1,0,2
Ross,Emmett,pem1,2,0,15
William,Emmons,pem7,9,7,240
Winand,Emons,pem11,13,15,428
M. Shahe,Emran,pem14,8,8,348
Takeshi,Emura,pem28,3,0,17
Grigorios,Emvalomatis,pem23,4,1,55
Cristina,Enache,pen94,1,0,1
Cosmin,Enache,pen76,4,0,30
Ali,Enami,pen99,3,1,31
David,Encaoua,pen32,9,9,302
Jose,Encarnacion,pen81,2,0,24
Maria,Enchautegui,pen48,3,2,90
Adrian,Enciu,pen47,1,0,4
Nicolas,End,pen107,2,0,5
Jan Willem,End,pen43,10,12,238
Kefyalew,Endale,pen104,1,0,8
Christoph,Endenich,pen83,1,0,3
Henrik,Enderlein,pen20,2,1,34
Zeno,Enders,pen52,5,4,339
Walter,Enders,pen67,24,41,2449
Takahiro,Endo,pen93,1,0,5
Masahiro,Endoh,pen108,4,2,49
James,Endres,pen71,1,0,3
Lee,Endress,pen56,3,0,21
Marianna,Endresz,pva332,8,7,253
Corina,Ene,pen59,1,0,4
Emilia,Ene Jones,pen102,2,0,10
Constanta,Enea,pen46,1,0,5
George,Enescu,pen64,2,1,14
Kerstin,Enflo,pen31,7,6,167
Yoke-Kee,Eng,pen42,3,1,70
James,Engel,pen24,2,1,18
Christoph,Engel,pen22,7,7,399
Dirk,Engel,pen53,9,6,308
Eduardo,Engel,pen3,20,33,1840
Charles,Engel,pen14,39,68,6740
Hans-Jurgen,Engelbrecht,pen113,5,3,149
Peter-Jan,Engelen,pen79,6,4,111
Carina,Engelhardt,pen89,1,1,16
Bryan,Engelhardt,pen40,4,1,47
Jan,Engelmann,pen85,3,1,64
Dirk,Engelmann,pen12,16,21,1226
Benjamin,Engelstätter,pen66,2,0,12
Kristie,Engemann,pen65,6,4,100
Hella,Engerer,pen25,3,1,37
Maxim,Engers,pen55,11,11,399
Merwan,Engineer,pen4,6,6,140
Florian,Engl,pen84,2,2,31
Eric,Engle,pen62,1,0,1
Philipp,Engler,pen39,5,2,68
Jim,Engle-Warnick,pen1,7,6,234
Jeffrey,Englin,pen27,13,15,548
Eric,English,pen51,1,0,2
Burton,English,pen95,8,7,283
Florian,Englmaier,pen21,8,7,297
Michael,Engman,pen35,3,3,67
Peter,Engseld,pen19,2,1,19
Tom,Engsted,pen44,16,24,743
Per,Engström,pen29,4,2,79
Stefan,Engstrom,pen13,3,2,70
Eric,Engstrom,pen96,4,4,216
Anders,Engvall,pen36,3,0,16
Jacob,Engwerda,pen37,7,5,194
Ruben,Enikolopov,pen41,9,9,523
Geoffroy,Enjolras,pen49,4,2,45
Benjamin,Enke,pen106,5,4,111
Sören,Enkelmann,pen78,4,2,36
Ahmed,Ennasri,pen58,1,0,2
Huberto,Ennis,pen16,12,15,511
Masahiro,Enomoto,pen72,1,0,6
Hernan,Enriquez,pen70,1,0,1
Dominik,Enste,pen10,7,7,1469
Horst,Entorf,pen2,10,13,504
Revold,Entov,pen75,2,0,20
Masahiro,Enya,pen90,1,0,4
Yunjong,Eo,peo3,4,1,31
Sean,Eom,peo5,3,0,21
Patrick,Eozenou,peo4,3,1,38
Manamba,Epaphra,pep17,1,0,4
Anne,Epaulard,pep6,4,4,144
Marianna,Epicoco,pep14,2,0,14
Paolo,Epifani,pep4,10,10,415
Tatiana,Epifanova,pep22,2,1,37
Athanasios,Episcopos,pep9,5,4,78
Thomas,Epper,pep7,8,6,298
James,Epperson,pep5,8,4,195
Peter,Eppinger,pep16,2,0,13
Dennis,Epple,pep21,24,40,3500
Francis,Epplin,pep20,6,6,178
Brendan,Epstein,pep13,3,0,17
Roy,Epstein,pep3,3,2,64
David,Epstein,pep15,4,1,30
Gil,Epstein,pep1,16,23,788
Larry,Epstein,pep2,32,56,5245
Gheorghe,Epuran,pep8,2,0,4
Manuela,Epure,pep11,2,1,17
Juan,Equiza-Goñi,peq3,1,0,6
Hakan,Er,per41,1,0,1
Veysel,Eraslan,per202,2,0,8
Hülya,Eraslan,per31,9,8,330
Mustafa,Eratalay,per140,1,0,5
Iñaki,Erauskin,per87,1,0,3
Bahar,Erbas,per88,1,1,15
Michaela,Erbenova,per62,3,1,25
Georg,Erber,per51,4,0,52
Can,Erbil,per36,4,1,31
Hakan,Ercan,per179,1,0,3
Aitor,Erce,per49,8,6,388
Christopher,Erceg,per53,20,25,3481
Paolo,Ercolani,per67,2,0,4
Marco,Ercolani,per38,4,2,133
Valerio,Ercolani,per151,4,1,55
Salvatore,Ercolano,per123,2,0,7
Fuat,Erdal,per150,2,1,14
Deniz,Erdem,per159,1,0,10
Magdalena,Erdem,per160,2,1,35
Fatma,Erdem,per144,3,1,44
Seda,Erdem,per120,4,0,23
Tulin,Erdem,per175,12,12,564
Deniz,Erdemlioglu,per86,2,1,16
Aytek,Erdil,per99,4,3,163
Erkan,Erdil,per138,5,3,85
Didar,Erdinç,per80,1,0,4
Katrin,Erdlenbruch,per108,4,1,43
Ayse,Erdogan,per165,1,0,8
Sedat,Erdogan,per197,1,0,1
Oral,Erdogan,per172,3,0,19
Esen,Erdogan Ciftci,per37,1,0,1
Muammer,Erdogdu,per55,1,0,2
Oya,Erdogdu,per20,1,0,6
Erkan,Erdogdu,per104,8,5,193
Peter,Erdos,per161,3,2,35
Daniel,Erdsiek,per129,2,0,7
Yasemin,Erduman,pba304,11,11,736
Perekunah,Eregha,per156,2,0,10
Mesut,Eren,per176,2,0,12
Okan,Eren,per90,2,0,8
Ozkan,Eren,per40,4,1,53
Olaf,Erenstein,per101,7,2,130
Etem,Ergec,per191,1,0,6
Nilgun,Ergun,per70,1,0,1
Selim,Ergun,per89,2,0,9
Ozgur,Ergungor,per2,7,4,146
Klaudia,Erhardt,per188,1,0,2
Szilárd,Erhart,per60,4,1,35
Christine,Erhel,per122,4,3,84
Dejan,Eric,per146,1,0,3
George,Erickcek,per142,5,3,98
Keith,Ericson,per105,8,8,230
Jan,Ericsson,per28,6,5,370
Neil,Ericsson,per17,19,25,1627
Bo,Eriksen,per110,1,0,8
Jonas,Eriksen,per157,1,1,19
Tine Louise,Eriksen,per166,1,0,2
Michael,Eriksen,per128,5,4,108
Jaime,Erikson,per58,1,0,1
Rickard,Eriksson,per47,5,5,169
Kimmo,Eriksson,per26,6,3,80
Stefan,Eriksson,per42,7,6,199
Tor,Eriksson,per15,16,23,954
Fredrik,Erixon,per83,2,0,12
Lennart,Erixon,per77,3,0,28
Oscar,Erixson,per171,3,2,44
Emil,Erjavec,per169,5,1,73
Nisvan,Erkal,per52,9,8,357
Hélène,Erkel-Rousse,per84,6,4,183
Taptuk,Erkoc,per158,1,0,2
Hande,Erkut,per199,1,0,9
Ulf,Erlandsson,per25,2,2,56
Albin,Erlanson,per143,2,1,18
Mathias,Erlei,per33,3,1,33
Alexander,Erler,per102,2,0,9
Marcel,Erlinghagen,per64,2,1,27
Gissur,Erlingsson,per68,1,0,1
Dmitrii,Ermakov,pni344,1,0,5
John,Ermisch,per54,22,40,1481
Ergun,Ermisoglu,per149,4,2,44
Christoph,Ernst,per59,2,1,34
Ekkehard,Ernst,per35,7,5,241
Dieter,Ernst,per44,9,8,373
Vasily,Erokhin,per148,2,0,10
Isil,Erol,per66,2,0,16
Igor,Eromenko,per116,3,2,44
Andres,Erosa,per18,14,17,821
Khalid,Errabi,per93,2,0,12
Youssef,Errami,pyo116,2,0,15
Guido,Erreygers,per126,7,4,324
Mikhail,Ershov,per186,1,0,3
Özgür,Ersin,per69,2,0,8
Ersan,Ersoy,per170,1,0,2
Seda,Ertaç,per98,6,5,217
Arhan,Ertan,per100,3,2,112
Gul,Ertan Ozguzer,per76,1,0,2
Ceren,Ertan Yoruk,per130,2,1,16
Sinan,Ertemel,per63,1,0,2
Ibrahim,Erten,per134,1,0,2
Bilge,Erten,per145,3,2,111
Ayse,Ertugrul,per50,1,0,4
Hasan,Ertugrul,per136,2,1,18
Cem,Ertur,per4,12,14,679
Mehmet,Erturk,per127,2,0,5
Mutahhar,Erturk,per147,2,0,13
Korkut,Erturk,per22,4,1,36
Abdul Azeez,Erumban,per21,6,3,112
Burcay,Erus,per74,3,1,25
Aysegul,Eruygur,per94,2,0,10
H. Ozan,Eruygur,per73,2,0,7
Astrid,Ervik,per7,1,0,5
Inger,Ervik,per162,1,0,1
Mehmet,Eryigit,per48,3,2,29
Refik,Erzan,per75,4,2,75
Luca,Erzegovesi,per190,3,0,17
Hubert,Escaith,pes71,7,5,153
Cesar,Escalante,pes12,6,3,257
Monica,Escaleras,pes44,7,5,240
Juan Carlos,Escanciano,pes22,10,11,326
Marta,Escapa,pes13,4,2,58
Josep-Oriol,Escardibul,pes62,2,1,28
Regina,Escario,pes151,3,3,38
José-Julián,Escario,pes78,5,2,72
Sabine,Eschenhof,pes95,1,0,3
Javier,Escobal,pes15,11,11,394
Ana,Escobar,pes84,1,0,3
Octavio,Escobar,pes103,2,1,26
Juan,Escobar,pes124,4,3,65
Marcos,Escobar Anel,pes169,2,0,13
Diego,Escobari,pes42,5,2,85
Julio,Escobar-Potes,pes173,1,0,5
Julio,Escolano,pes126,4,2,65
Raul,Escorza,pes43,1,0,9
Laarni,Escresa,pes114,1,0,5
Alvaro,Escribano,pes1,11,11,475
Francisco,Escribano Sotos,pes58,1,1,25
Marc,Escrihuela-Villar,pes75,5,2,61
Guillermo,Escudé,pes119,3,0,13
Juan,Escudero Núñez,pes10,1,0,2
Oguz,Esen,pes20,1,0,8
Omer,Esen,pes164,1,0,4
Damir,Esenaliev,pes123,2,1,21
Fabian,Eser,pes93,4,4,140
Hamideh,Esfahani,pes106,1,0,2
Hadi,Esfahani,pes76,8,8,518
Carolina,Esguerra,pes59,1,0,1
Bahtiyor,Eshchanov,pes131,2,0,12
Ruzumboy,Eshchanov,pes135,2,0,10
Neil,Esho,pes16,7,4,133
Maame Esi,Eshun,pes140,1,0,3
Simel,Esim,pes67,2,0,11
Bulent,Esiyok,pes117,1,0,4
Shahpar,Eskandari,pes166,1,0,1
Saman,Eskandarzadeh,pes130,1,0,5
Shaikh,Eskander,pes98,1,0,4
Gunnar,Eskeland,pes96,9,9,672
Marcela,Eslava,pes57,13,15,949
Peter,Eso,pes89,5,5,160
Giuseppe,Espa,pes53,2,1,32
Irina,España,pes177,1,0,5
Etienne,Espagne,pes163,4,1,41
Antonio,Espín,pes118,3,1,52
José-Antonio,Espín-Sánchez,pes132,2,0,4
Antoni,Espasa,pes174,6,4,142
Alvaro,Espejo,pes14,1,0,9
Pedro,Esperança,pes156,1,0,1
Molly,Espey,pes113,9,9,503
Alma,Espino,pes122,1,0,7
Freddy,Espino,pes94,2,0,4
Emilio,Espino,pes77,3,1,41
Ana,Espinola-Arredondo,pes48,3,0,29
Alexandra,Espinosa,pes5,1,0,1
Christian,Espinosa,pes52,1,0,1
Romain,Espinosa,pes154,1,0,4
Maria,Espinosa,pes107,4,2,112
Maria Paz,Espinosa,pes79,13,17,501
Oscar,Espinosa Acuña,pes120,1,0,1
Miguel,Espinosa Farfan,pes51,1,0,5
Rafael,Espinosa Ramirez,pes26,1,0,2
Juan,Espinosa Torres,pes149,2,0,6
Marco,Espinosa-Vega,pes4,8,6,292
Raphael,Espinoza,pes36,8,5,211
Manuel,Espitia Escuer,pma808,4,0,30
Ignacio,Esponda,pes109,4,3,86
Federico,Esposito,pes170,1,0,2
Gabriele,Esposito,pes68,2,1,15
Piero,Esposito,pes50,2,2,37
Lucio,Esposito,pes108,5,3,78
Vincenzo,Esposito Vinzi,pes142,2,1,22
Roberto,Esposti,pes45,8,6,229
Alexis,Esposto,pes137,2,0,8
Sergio,Espuelas,pes115,2,0,5
Omar,Esqueda,pes148,3,1,26
Valeria,Esquivel,pes70,1,1,22
Gerardo,Esquivel,pes46,8,8,1042
Essahbi,Essaadi,pes65,5,3,73
Mohamed,Essaddam,pes7,1,0,1
Azim,Essaji,pes30,3,1,48
Timothy,Essam,pes105,3,2,35
Jacques,Esso,pes88,4,2,97
Hassan,Essop,pes66,1,0,1
Arantza,Estévez Fernández,pes85,3,0,39
Antonio,Estache,pes90,19,44,1563
Gloria,Estape-Dubreuil,pes159,1,0,5
Victoria,Esteban,pes91,2,0,8
Miguel,Esteban,pes144,5,3,110
Susanna,Esteban,pes19,7,5,128
Joan,Esteban,pes64,18,25,1698
Mercedes,Esteban-Bravo,pes40,3,0,21
Julen,Esteban-Pretel,pes86,8,6,165
Alejandro,Esteller-Moré,pes8,5,3,127
Marcello,Estevão,pes27,8,8,187
Fernanda,Estevan,pes32,4,1,63
Vicente,Esteve,pes97,9,9,221
Patricia,Esteve González,pes167,1,0,3
Silviano,Esteve-Pérez,pes60,6,4,175
Luiz,Esteves,pes38,3,1,29
Rui,Esteves,pes47,5,3,87
Paulo,Esteves,pes150,6,2,118
Rosa,Esteves,pes54,7,4,116
Berta,Esteve-Volart,pes61,6,6,245
Kristian,Estevez,pes136,1,0,1
Hossein,Estiri,pes153,2,0,12
Fernando,Estrada,pga454,2,2,31
Ricardo,Estrada,pes152,2,0,5
Francisco,Estrada,pes112,3,1,34
Salvador,Estrada,pes116,5,2,68
Dairo,Estrada,pes56,6,4,97
Angel,Estrada,pes178,7,6,169
Carmen,Estrades,pes33,4,0,38
Arturo,Estrella,pes29,19,23,2659
Jonna,Estudillo,pes72,6,5,159
Adeyemi,Esuola,pes74,1,0,3
Mukesh,Eswaran,pes92,17,22,993
Nathalie,Etchart-Vincent,pet7,3,2,117
Dalibor,Eterovic,pet25,3,1,48
Manuel,Etesse,pet28,1,0,2
Stefan,Etgeton,pet32,1,0,1
Ben,Etheridge,pet22,3,3,101
Wilfred,Ethier,pet6,18,22,2121
Xiaoli,Etienne,pet31,3,2,69
Fabrice,Etilé,pet5,8,7,362
Haggay,Etkes,pet20,2,0,7
Johanna,Etner,pet17,5,4,154
Federico,Etro,pet16,13,18,675
David,Ettinger,pet9,5,3,76
Erkko,Etula,pet14,5,3,163
Goio,Etxebarria,pet12,3,2,398
Daniel,Etzel,pet18,2,1,35
Amir,Etziony,pet21,2,0,10
Nicholas,Eubank,peu6,4,3,130
Christian,Eufinger,peu7,3,1,106
Sara,Eugeni,peu8,1,0,9
Juan,Eugenio-Martin,peu3,1,1,65
Beatrix,Eugster,pbr344,3,1,38
Anna,"Eulerich, geb. Bohnstedt",pbo492,1,0,4
Giuseppe,Eusepi,peu5,3,0,30
Stefano,Eusepi,peu2,11,13,569
Panagiotis,Evangelopoulos,pev13,1,0,2
Douglas,Evanoff,pev37,14,18,605
Brent,Evans,pev64,1,0,1
Brooks,Evans,pev49,1,0,1
Keith,Evans,pev38,2,0,9
Edward,Evans,pev30,3,0,21
Joanne,Evans,pev22,3,2,65
Richard,Evans,pev25,3,2,41
Katherine,Evans,psm135,4,1,32
Carolyn,Evans,pev40,7,6,313
David,Evans,pev18,7,5,257
Mary,Evans,pev19,8,8,222
Lew,Evans,pev32,9,8,242
Robert,Evans,pev33,9,8,190
David,Evans,pev9,15,19,3306
Paul,Evans,pev42,15,19,1341
Charles,Evans,pev23,18,20,6426
Martin,Evans,pev5,26,34,2306
William,Evans,pev28,27,45,2954
George,Evans,pev4,28,58,2515
William,Even,pev11,9,8,272
Simon,Evenett,pev15,7,5,575
